,dest_x,dest_y
0,-28.782612,-21.490444
1,-23.901209,-3.881793
2,-23.901209,-3.881793
3,-28.782612,-21.490444
4,-28.782612,-21.490444
5,-28.782612,-21.490444
6,-28.782612,-21.490444
7,-23.901209,-3.881793
8,-28.782612,-21.490444
9,-23.901209,-3.881793
10,-23.901209,-3.881793
11,1.2432461,-8.480006
12,1.2432461,-8.480006
13,-23.901209,-3.881793
14,-23.901209,-3.881793
15,-23.901209,-3.881793
16,-28.782612,-21.490444
17,1.2432461,-8.480006
18,1.2432461,-8.480006
19,-28.782612,-21.490444
20,1.2432461,-8.480006
21,-28.782612,-21.490444
22,-28.782612,-21.490444
23,-23.901209,-3.881793
24,-28.782612,-21.490444
25,1.2432461,-8.480006
26,1.2432461,-8.480006
27,1.2432461,-8.480006
28,1.2432461,-8.480006
29,1.2432461,-8.480006
30,-23.901209,-3.881793
31,-23.901209,-3.881793
32,-23.901209,-3.881793
33,-23.901209,-3.881793
34,-23.901209,-3.881793
35,-23.901209,-3.881793
36,-28.782612,-21.490444
37,-28.782612,-21.490444
38,-28.782612,-21.490444
39,-28.782612,-21.490444
40,-23.901209,-3.881793
41,-23.901209,-3.881793
42,-28.782612,-21.490444
43,-28.782612,-21.490444
44,-28.782612,-21.490444
45,-23.901209,-3.881793
46,-23.901209,-3.881793
47,-28.782612,-21.490444
48,1.2432461,-8.480006
49,1.2432461,-8.480006
50,-23.901209,-3.881793
51,-28.782612,-21.490444
52,-23.901209,-3.881793
53,-23.901209,-3.881793
54,-28.782612,-21.490444
55,-28.782612,-21.490444
56,1.2432461,-8.480006
57,-8.944366,-4.999816
58,-8.944366,-4.999816
59,-28.782612,-21.490444
60,-23.901209,-3.881793
61,1.2432461,-8.480006
62,1.2432461,-8.480006
63,1.2432461,-8.480006
64,1.2432461,-8.480006
65,1.2432461,-8.480006
66,-28.782612,-21.490444
67,-8.944366,-4.999816
68,1.2432461,-8.480006
69,1.2432461,-8.480006
70,-28.782612,-21.490444
71,-28.782612,-21.490444
72,-23.901209,-3.881793
73,-28.782612,-21.490444
74,-28.782612,-21.490444
75,-28.782612,-21.490444
76,-28.782612,-21.490444
77,-28.782612,-21.490444
78,-28.782612,-21.490444
79,-28.782612,-21.490444
80,-28.782612,-21.490444
81,-28.782612,-21.490444
82,-28.782612,-21.490444
83,-8.944366,-4.999816
84,1.2432461,-8.480006
85,-28.782612,-21.490444
86,-28.782612,-21.490444
87,-23.901209,-3.881793
88,-23.901209,-3.881793
89,-28.782612,-21.490444
90,-23.901209,-3.881793
91,1.2432461,-8.480006
92,-8.944366,-4.999816
93,1.2432461,-8.480006
94,-23.901209,-3.881793
95,1.2432461,-8.480006
96,1.2432461,-8.480006
97,-23.901209,-3.881793
98,-23.901209,-3.881793
99,-23.901209,-3.881793
100,1.2432461,-8.480006
101,1.2432461,-8.480006
102,1.2432461,-8.480006
103,1.2432461,-8.480006
104,1.2432461,-8.480006
105,-23.901209,-3.881793
106,-23.901209,-3.881793
107,1.2432461,-8.480006
108,1.2432461,-8.480006
109,1.2432461,-8.480006
110,1.2432461,-8.480006
111,1.2432461,-8.480006
112,1.2432461,-8.480006
113,1.2432461,-8.480006
114,-23.901209,-3.881793
115,-23.901209,-3.881793
116,1.2432461,-8.480006
117,-8.944366,-4.999816
118,-23.901209,-3.881793
119,1.2432461,-8.480006
120,-23.901209,-3.881793
121,-23.901209,-3.881793
122,-23.901209,-3.881793
123,1.2432461,-8.480006
124,1.2432461,-8.480006
125,1.2432461,-8.480006
126,1.2432461,-8.480006
127,1.2432461,-8.480006
128,-8.944366,-4.999816
129,1.2432461,-8.480006
130,-8.944366,-4.999816
131,-23.901209,-3.881793
132,1.2432461,-8.480006
133,1.2432461,-8.480006
134,1.2432461,-8.480006
135,-23.901209,-3.881793
136,-23.901209,-3.881793
137,-23.901209,-3.881793
138,1.2432461,-8.480006
139,-8.944366,-4.999816
140,1.2432461,-8.480006
141,-8.944366,-4.999816
142,1.2432461,-8.480006
